no,num1,num2,num3,num4,num5,num6,binus,winning_1,winning_2,winning_3,winning_4,winning_5
1,10,23,29,33,37,40,16,0.00,"143,934,100.00","5,140,500.00","113,400.00","10,000.00"
2,9,13,21,25,32,42,2,"2,002,006,800.00","94,866,800.00","1,842,000.00","100,800.00","10,000.00"
3,11,16,19,21,27,31,30,"2,000,000,000.00",0.00,"1,174,100.00","54,900.00","10,000.00"
4,14,27,30,31,40,42,2,0.00,"211,191,200.00","7,282,400.00","152,100.00","10,000.00"
5,16,24,29,40,41,42,3,0.00,0.00,"6,033,800.00","166,500.00","10,000.00"
6,14,15,26,27,40,42,34,"6,574,451,700.00","196,297,600.00","4,267,300.00","87,600.00","10,000.00"
7,2,9,16,25,26,40,42,0.00,"48,165,000.00","1,605,500.00","65,500.00","10,000.00"
8,8,19,25,34,37,39,9,0.00,"131,555,000.00","2,268,100.00","110,500.00","10,000.00"
9,2,4,16,17,36,39,14,0.00,"769,456,500.00","8,743,800.00","260,000.00","10,000.00"
10,9,25,30,33,41,44,6,"6,430,437,900.00","40,813,400.00","856,400.00","27,300.00","10,000.00"
11,1,7,36,37,41,42,14,"4,780,152,300.00","362,132,700.00","9,307,100.00","206,800.00","10,000.00"
12,2,11,21,25,39,45,44,"1,348,845,700.00","99,914,400.00","1,417,500.00","70,200.00","10,000.00"
13,22,23,25,37,38,42,26,0.00,"433,309,300.00","5,777,400.00","175,600.00","10,000.00"
14,2,6,12,31,33,40,15,"9,375,048,300.00","130,363,400.00","2,568,700.00","93,900.00","10,000.00"
15,3,4,16,30,31,37,13,"17,014,245,000.00","177,231,700.00","5,571,100.00","144,600.00","10,000.00"
16,6,7,24,37,38,40,33,"4,377,146,100.00","243,174,700.00","3,385,200.00","123,500.00","10,000.00"
17,3,4,9,17,32,37,1,"5,349,491,200.00","297,193,900.00","2,342,100.00","86,700.00","10,000.00"
18,3,12,13,19,32,35,29,0.00,"175,017,300.00","3,953,700.00","136,500.00","10,000.00"
19,6,30,38,39,40,43,26,"40,722,959,400.00","297,278,500.00","5,971,100.00","150,900.00","10,000.00"
20,10,14,18,20,23,30,41,"19,352,212,800.00","230,383,400.00","3,632,100.00","133,900.00","10,000.00"
21,6,12,17,18,31,32,21,"797,475,400.00","117,576,500.00","1,522,400.00","73,600.00","10,000.00"
22,4,5,6,8,17,39,25,"4,552,194,900.00","94,837,300.00","3,669,600.00","113,900.00","10,000.00"
23,5,13,17,18,33,42,44,"4,317,947,700.00","125,157,900.00","2,098,100.00","90,300.00","10,000.00"
24,7,8,27,29,36,43,6,0.00,"176,023,700.00","3,425,300.00","120,000.00","10,000.00"
25,2,4,21,26,43,44,16,"24,227,745,300.00","175,267,400.00","4,417,100.00","166,600.00","10,000.00"
26,4,5,7,18,20,25,31,"3,495,069,900.00","74,680,900.00","2,173,500.00","80,600.00","10,000.00"
